Outcomes,Group,T1,T1SD,T2,T2SD,T3,T3SD,T4,T4SD,T5,T5SD,T6,T6SD,T7,T7SD
GET-ed ,1,27.3,16.1,25.3,21.7,,,66,14.5,54.3,22.16,,,,
GJT-ed ,1,52.7,13.4,57,9.1,,,58.7,14.5,56.3,16.2,,,,
SPELT-3 ,1,76.4,17.2,,,,,78.9,11.9,,,,,,
TROG-2 ,1,77.5,13.7,,,,,84.4,19.6,,,,,,
GET-3S ,1,29.3,24.1,32.3,34.06,,,45.3,28.2,44.7,31.1,,,,
GJT-3S ,1,60.3,15,58,14.1,,,57,14.8,61.3,16.1,,,,
GET-'s ,1,39.3,26.7,44.3,30.5,,,50,33.4,40.3,32.4,,,,
GJT-'s ,1,56,15.3,55,14.6,,,60,18,56.7,19.6,,,,
GET-ed ,2,19.7,16.3,,,17.6,17.1,22.4,21.9,,,45.3,20.5,43.4,26
GJT-ed ,2,55.2,11.7,,,56.7,14.1,60.3,13.8,,,51.3,11.4,52.2,8.6
SPELT-3 ,2,69,17.8,,,,75.7,13,,,,82.5,18.4,,
TROG-2 ,2,76.7,8.9,,,,81,18.3,,,,84,16.2,,
GET-3S ,2,23.6,26.8,,,27.3,22.8,32.1,29.6,,,32,28,33,29.5
GJT-3S ,2,52.7,10.6,,,54.8,18.2,60.6,19,,,61,11.2,54.8,17.5
GET-'s ,2,26.1,19.9,,,16.3,17.6,31,25.5,,,25.3,18.4,33,29.5
GJT-'s ,2,53.9,13.7,,,53,15.5,54.2,14.6,,,54.3,11.6,51.5,6.1