GROUP 1,T1,T2,,T3,T4,,
P1,0.066666667,0.066666667,,0.166666667,0.2,,
P5,0.666666667,0.933333333,,0.8,0.9,,
P9,0.766666667,0.7,,0.8,0.9,,
P10,0.366666667,0.2,,0.133333333,0.233333333,,
P12,0.233333333,0.3,,0.466666667,0.466666667,,
P14,0.1,0.1,,0.6,0.466666667,,
P16,0.133333333,0,,0.3,0,,
P18,0,0.033333333,,0.033333333,0.1,,
P22,0.233333333,0.066666667,,0.4,0.4,,
P23,0.366666667,0.833333333,,0.833333333,0.8,,
MEAN,0.293333333,0.323333333,,0.453333333,0.446666667,,
SD,0.2412007,0.340604039,,0.281740621,0.310626607,,
GROUP 2,T1,,T2,T3,,T4,T5
P3,0.466666667,,0.5,0.433333333,,0.6,0.5
P4,0.533333333,,0.3,0.266666667,,0.233333333,0.266666667
P6,0.033333333,,0.133333333,0.166666667,,0.5,0.5
P7,0,,0.233333333,0.3,,0.2,0.233333333
P11,0,,0,0,,0,0.033333333
P13,0.733333333,,0.666666667,0.9,,0.933333333,0.933333333
P15,0.033333333,,0.1,0,,0.2,0.066666667
P17,0.566666667,,0.6,0.833333333,,,
P19,0.033333333,,0.033333333,0.033333333,,02:08,0.1
P20,0,,0.033333333,0.166666667,,0.033333333,0
P21,0.2,,0.4,0.433333333,,0.433333333,0.666666667
MEAN,0.236363636,,0.272727273,0.321212121,,0.32,0.33
SD,0.267972012,,0.227777218,0.29585443,,0.280158685,0.294561821