Average r,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12
0,0.025,0.017,0.013,0.01,0.008,0.007,0.006,0.006,0.005,0.005,0.004
0.1,0.025,0.017,0.013,0.01,0.008,0.007,0.006,0.006,0.005,0.005,0.004
0.2,0.026,0.017,0.013,0.01,0.009,0.007,0.006,0.006,0.005,0.005,0.004
0.3,0.026,0.018,0.013,0.011,0.009,0.008,0.007,0.006,0.005,0.005,0.005
0.4,0.027,0.019,0.014,0.011,0.01,0.008,0.007,0.006,0.006,0.005,0.005
0.5,0.029,0.02,0.015,0.013,0.011,0.009,0.008,0.007,0.006,0.006,0.005
0.6,0.03,0.022,0.017,0.014,0.012,0.01,0.009,0.008,0.007,0.007,0.006
0.7,0.033,0.025,0.02,0.016,0.014,0.012,0.011,0.01,0.009,0.008,0.008
0.8,0.037,0.029,0.024,0.02,0.018,0.016,0.014,0.013,0.012,0.011,0.01
0.9,0.042,0.036,0.032,0.028,0.026,0.023,0.021,0.02,0.018,0.017,0.016
1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05